tweet,sentimiento,polaridad_dominante
"Resuelto, muchísimas gracias , excelente servicio como siempre",0.0,Neutral
"Muchas gracias, espero su dm",0.0,Neutral
Muchas gracias!,0.0,Neutral
Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,0.5859,Positiva
Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,0.0,Neutral
Esta es la señal que necesitan para tener el mínimo dinero en banamex,0.0,Neutral
Gracias 😁,0.0,Neutral
Muchas gracias 😊,0.0,Neutral
"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",-0.296,Negativa
Gracias por la playera que me dieron en Galerías GDL.,0.0,Neutral
buen día...tengo problemas con mi cuenta,0.0,Neutral
Gracias,0.0,Neutral
Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,0.0,Neutral
"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",0.0,Neutral
"Ya todo bien, gracias 👍",0.0,Neutral
Milagro que me gano algo 🫶🏻,0.0,Neutral
Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,0.0,Neutral
nunca había ganado nada antes ✨ hahaha,0.5574,Positiva
Con el CashBack de pude pagar mi servicio de internet. yei :),0.4588,Positiva
Gracias!!!,0.0,Neutral
"Listo, gracias",0.0,Neutral
Si gracias,0.0,Neutral
A mí me llegó una semana después aprox,0.0,Neutral
hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,0.0,Neutral
Muchas gracias 🙏,0.0,Neutral
"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",0.4019,Positiva
"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",0.0,Neutral
Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,0.0,Neutral
"Pues bueno, me quedé sin cena, muchas gracias 👍",-0.5574,Negativa
"Gracias e igualmente, bendiciones 🙏",0.0,Neutral
Vale estoy esperando,0.0,Neutral
Muchas gracias espero la respuesta,0.0,Neutral
Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,0.1779,Positiva
es mejor,0.0,Neutral
Contéstenme por favor,0.4019,Positiva
Muchas gracias que amables 😊,0.0,Neutral
"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",0.0,Neutral
amigos les mandé dm gracias,0.0,Neutral
solicito su ayuda gracias,0.0,Neutral
Gracias!Ya respondí.Quedo atenta,0.0,Neutral
Va gracias,0.0,Neutral
No sé ni a qué le piqué pero muchas gracias😂❤️,-0.296,Negativa
"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss",0.0,Neutral
Por eso son mi banco 1 ⭐⭐⭐⭐⭐,0.0,Neutral
Thanks!,0.4926,Positiva
"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",-0.5267,Negativa
"Increíble, gracias HeyBanco!!@heybanco",0.0,Neutral
Me contestaron que sí.,0.0,Neutral
Gracias!,0.0,Neutral
Graciaaas.,0.0,Neutral
"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",-0.296,Negativa
"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",0.0,Neutral
🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,0.0,Neutral
¡Gracias,0.0,Neutral
"¡Hola!, me pueden apoyar por favor 😬",0.4574,Positiva
"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",0.0,Neutral
"Gracias, ya se ve reflejado. Solucionado. Gracias",0.0,Neutral
"Listo, gracias!",0.0,Neutral
Los tkm ♥️,0.0,Neutral
"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",0.0,Neutral
Cof cof también ❤️❤️,0.0,Neutral
te lo súper recomiendo. Y no te cobran el plástico.,-0.296,Negativa
"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",0.0,Neutral
"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",0.0,Neutral
Gracias !,0.0,Neutral
"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",0.1779,Positiva
Gracias ! Este mes me tocó boletoDorado,0.0,Neutral
Bello!,0.0,Neutral
Aún hay esperanza.. congrats !!,0.6103,Positiva
Gracias 😊😊😊,0.0,Neutral
Gracias.,0.0,Neutral
Muchas gracias 👌👌,0.0,Neutral
Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,0.0,Neutral
Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,0.0,Neutral
No mames que buena suee!,-0.3595,Negativa
"segundo premio, espero lleguen más",0.0,Neutral
Gracias ☺️,0.0,Neutral
"Hola, esto nos beneficia a los usuarios de",0.0,Neutral
Gracias por el apoyo con el seguimiento,0.0,Neutral
Gracias tio hey! Esto nos ayuda bastante.,0.0,Neutral
Muchas gracias Un mes gratis de,0.0516,Positiva
Muchísimas gracias ya me resolvió. Saludos!,0.0,Neutral
Vale gracias 😃,0.0,Neutral
Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,0.0,Neutral
Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,0.0,Neutral
Gracias por ser pae de el FC Barcelona,0.0,Neutral
cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,0.0,Neutral
Ok gracias,0.296,Positiva
"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",0.368,Positiva
"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",0.0,Neutral
Excelente,0.0,Neutral
Me gane 2 premios,0.0,Neutral
Amiga explícame!!!,0.0,Neutral
Muchas gracias por la información!,0.0,Neutral
ThankU!,0.0,Neutral
"Vientos, gracias",0.0,Neutral
me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,0.0,Neutral
me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,0.0,Neutral
Gracias 👏🏼,0.0,Neutral
"Gracias, lo checo",0.0,Neutral
¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,-0.296,Negativa
Gracias por el dato y cómo fue soeo 👀?,0.0,Neutral
"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",0.0,Neutral
Muchas gracias,0.0,Neutral
Gracias ya se solucionó. Buenas tardes,0.0,Neutral
Lo realizaré.Gracias.,0.0,Neutral
En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,0.1779,Positiva
Me funcionó mil gracias,0.0,Neutral
Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,-0.6808,Negativa
Mmm. te da el rendimiento del 10% Es buena opción.,0.0,Neutral
Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,0.0,Neutral
Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,0.0,Neutral
"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",-0.5574,Negativa
"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",-0.296,Negativa
Gracias por ser el mejor banco ✨,0.0,Neutral
"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",0.0,Neutral
gracias,0.0,Neutral
Solucionado. Gracias.,0.0,Neutral
"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",0.0,Neutral
Excelente servicio de atención a clientes en HeyBanco 10/10,0.0,Neutral
Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,0.0,Neutral
Ok muchas gracias 😊,0.296,Positiva
Gracias. Porque tengo una duda,0.0,Neutral
¡Gracias a ti por formar pae de esta gran familia!,0.0,Neutral
