Palabra,Tweet
gracias,"Resuelto, muchísimas gracias , excelente servicio como siempre"
gracias,"Muchas gracias, espero su dm"
gracias,Muchas gracias!
gracias,Gracias 😁
gracias,Muchas gracias 😊
gracias,Gracias por la playera que me dieron en Galerías GDL.
gracias,Gracias
gracias,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻
gracias,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias"
gracias,"Ya todo bien, gracias 👍"
gracias,Gracias!!!
gracias,"Listo, gracias"
gracias,Si gracias
gracias,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..
gracias,Muchas gracias!
gracias,Muchas gracias 🙏
gracias,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝
gracias,"Pues bueno, me quedé sin cena, muchas gracias 👍"
gracias,"Gracias e igualmente, bendiciones 🙏"
gracias,Muchas gracias espero la respuesta
gracias,Muchas gracias que amables 😊
gracias,amigos les mandé dm gracias
gracias,solicito su ayuda gracias
gracias,Gracias!Ya respondí.Quedo atenta
gracias,Va gracias
gracias,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss"
gracias,Gracias
gracias,Muchas gracias!
gracias,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo"
gracias,"Increíble, gracias HeyBanco!!@heybanco"
gracias,Gracias
gracias,Gracias!
gracias,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo."
gracias,"Gracias, ya se ve reflejado. Solucionado. Gracias"
gracias,"Listo, gracias!"
gracias,Muchas gracias!
gracias,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii"
gracias,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!"
gracias,Gracias !
gracias,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané."
gracias,Gracias ! Este mes me tocó boletoDorado
gracias,Gracias 😊😊😊
gracias,Gracias.
gracias,Muchas gracias 👌👌
gracias,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo
gracias,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.
gracias,Gracias!!!
gracias,Gracias ☺️
gracias,Gracias por el apoyo con el seguimiento
gracias,Gracias tio hey! Esto nos ayuda bastante.
gracias,Muchas gracias Un mes gratis de
gracias,Muchísimas gracias ya me resolvió. Saludos!
gracias,Vale gracias 😃
gracias,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias
gracias,Gracias por ser pae de el FC Barcelona
gracias,Ok gracias
gracias,Muchas gracias por la información!
gracias,"Vientos, gracias"
gracias,Gracias 👏🏼
gracias,"Gracias, lo checo"
gracias,Gracias por el dato y cómo fue soeo 👀?
gracias,Muchas gracias
gracias,Gracias ya se solucionó. Buenas tardes
gracias,Me funcionó mil gracias
gracias,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar
gracias,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️
gracias,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora."
gracias,Gracias por ser el mejor banco ✨
gracias,gracias
gracias,Solucionado. Gracias.
gracias,Ok muchas gracias 😊
gracias,Gracias. Porque tengo una duda
gracias,😒 Gracias 😊
gracias,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?"
gracias,"Gracias por la respuesta, estaré al pendiente"
gracias,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe"
gracias,Gracias
gracias,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita
gracias,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻"
gracias,"Gracias, hasta ahorita los amo 💙"
gracias,Gracias bro
gracias,"Gracias, ya lo envié."
gracias,"Gracias por responder, quedo en espera de la solución al problema."
gracias,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario."
gracias,Gracias ya les respondí
gracias,Listo!! Gracias
gracias,Perfecto! Gracias ☺️
gracias,Gracias. Ya le mande todos mis datos de mi tarjeta.
gracias,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑"
gracias,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)"
gracias,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria"
gracias,"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼"
gracias,Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄
gracias,Gracias la transferencia fue aplicada al día siguiente
gracias,"Gracias, ya lo resolví jajaja, me equivoqué"
gracias,Quedó aclarado el tema. Gracias.
gracias,Gracias por la información 🙏
gracias,Gracias!
gracias,"Gracias, ya les contesté"
gracias,"Si gracias, les volví a contestar hace un par de horas"
gracias,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥"
gracias,Muchas gracias!
gracias,"solucionado, muchas gracias 🫶🏼"
gracias,Gracias!
gracias,Gracias :)
gracias,Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.
gracias,"Ya les contesté, gracias"
gracias,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano"
gracias,Muchas gracias por la información ahí nos vemos el 3 de Junio
gracias,Gracias por el seguimiento!
gracias,Gracias por su respuesta
gracias,"Gracias, espero su pronta respuesta de agradecimiento"
gracias,"Gracias, como siempre super buena y rápida, la atención de su pae."
gracias,Muchas gracias :)
gracias,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos."
gracias,Gracias
gracias,Saludos bro. Gracias por ver los vídeos.
gracias,Gracias!
gracias,"Gracias, tocayo. Soy tu fan. ;)"
gracias,Gracias
gracias,"Hola! Ntp después de otros intentos me pudieron asistir, gracias!"
gracias,Ok gracias
gracias,"Gracias a Dios, JAJAJA."
gracias,"Gracias, ya recibí el código 👍"
gracias,Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨
gracias,"Gracias, supongo que es así por semana santa, correcto? Saludos!"
gracias,"Gracias, estaré pendiente a qué me responda"
gracias,Muchas gracias!
gracias,Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!
gracias,Gracias a Tamos readys en PalNoe 🦁
gracias,"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️"
gracias,Ya resolví gracias
gracias,Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢
gracias,Gracias les volví a contestar el dm
gracias,"Gracias hey banco, solucionaron el problema."
gracias,Muchísimas gracias
gracias,Muchas gracias por su respuesta tan pronta.
gracias,"gracias por la pronta devolución, me sirvio para pagarle a"
gracias,Muchas gracias mando DM a la brevedad
gracias,No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en
gracias,"Super, gracias."
gracias,muchas gracias
gracias,"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂"
gracias,Muchas gracias. Voy a comunicarme entonces.
gracias,Gracias
gracias,Ya me llego gracias
gracias,Excelente muchas gracias
gracias,muchas gracias por su respuesta!
gracias,"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏"
gracias,Gracias por avisar
gracias,"Buen día, les envié un mensaje, espero me puedan ayudar. Gracias."
gracias,Gracias ya quedó resuelto
gracias,Ya quedó. Muchas gracias.
gracias,"Ok, gracias"
gracias,Todo resuelto Gracias equipo
gracias,Muchas gracias 🫶
gracias,Gracias !
gracias,Gracias. Saludos
gracias,Gracias! Ya les respondi!
gracias,"Okay, Gracias"
gracias,"Listo, ya se los mandé , gracias ."
gracias,Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…
gracias,gracias!
gracias,Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…
gracias,Muchas gracias nunca me contestó. Afounadamente ya ha quedado resuelto.
gracias,Muchas gracias por el Boleto Dorado ☺️
gracias,Gracias por la apoación. Saludos
gracias,Gracias
gracias,Gracias quedó en espera
gracias,Muchas gracias Un mes gratis de
gracias,"Gracias, ya envié mi duda"
gracias,Gracias por responder! Me da mucho gusto que te hayan solucionado rápido. Ojalá así sea mi caso 🤞🏼Saludos
gracias,"Gracias lic hace tres años, si usted dice que no me deben negar volveré a hacerlo, muy amable por su atención un abrazo"
gracias,"Muchas gracias, si lo haré de nuevo un abrazo fuee 🫶"
gracias,Por favor . Gracias
gracias,"Gracias, saludos"
gracias,Muchas gracias por responder!Acabo de lograr el desbloqueo!
gracias,Gracias
gracias,Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…
gracias,"Gracias, estoy al pendiente de la información."
gracias,"Perfecto, iré a un punto Hey. Gracias, bebé LOL"
gracias,Listo muchas Gracias
gracias,Gracias
gracias,Muchas gracias
gracias,Muchas gracias
gracias,"hola , les mandé un dm, gracias !"
gracias,Muchas gracias! Si entrare para levantar un repoe a
gracias,"Gracias, arreglado"
gracias,Gracias 😊🤗
gracias,"Muchas Gracias, ya fue resuelto, gracias por el sopoe. Excelente servicio 👌🏽"
gracias,Muchas gracias por la felicitación 🤗
gracias,Vaaaaa gracias por el dato
gracias,"Buen dia, saque un carro usado en merkauto, y me autorizaron el crédito el lunes 19 de Junio pero es fecha que no me llaman a firmar contrato y factura, como puedo saber cuando esta listo porque esta tardando mucho un proceso como este, gracias."
gracias,"Para que estén bien atentos a lo que les llega, gracias a les compao el correo para que vean por dónde les quieren llegar. Pónganse listos."
gracias,Gracias!
gracias,Gracias! Lo hice y quedo. 🙌🏻
gracias,"Gracias, ahora se los envío"
gracias,Muchas gracias ✨
gracias,"Respuesta favorable, gracias!"
gracias,¡Hola Gracias por ser pae de esta gran familia FINSUS 😎👊
gracias,"Muchas gracias, Justo llame hace dos días para la aclaración, espero no sea tan tardado y salga bien"
gracias,"Gracias, acabo de mandar el correo."
gracias,"Perfecto, estaré atenta. Muchas gracias."
gracias,"Sí me sirvió, muchas gracias 🫶🏽"
gracias,Gracias ya mande un correo
gracias,"Gracias por el repoe. Exacto, ya pagué. Cc"
gracias,"Que bueno, gracias por estar atentos. También chequen su nivel de ""empatia"" con sus clientes, de todas las formas. ✌️"
gracias,Gracias ya les contesté
gracias,Gracias
gracias,"Buenos días, he gracias por la atención, llame al servicio al cliente y todo bien, ya no aparece así, muchas gracias 👀"
gracias,"Buena noche! En Mayo pedi un ceificado de regalo de amazon con HeyCoins, estaba viendo el estado del pedido y me aparece en Procesando, hay algun estimado de cuando se procesan estos pedidos? Muchas Gracias."
gracias,"esperemos que responda en sinceramente no he tenido problemas con ellos se me hace un buen banco, muchas gracias."
gracias,Gracias. Ya me explicaron. Muy amables.
gracias,"En menos de un mes logré desbloquear estos grandes beneficios, gracias por brindar esta herramienta para promover e…"
gracias,"Gracias, ya les contesté🙏🙏🙏"
gracias,Gracias
gracias,Muchas gracias
gracias,Gracias por el seguimiento. Ya quedó resuelto y no era problema de ustedes.
gracias,"Ya quedó solucionado, Muchas gracias"
gracias,Gracias ya respondi el mensaje
gracias,"hola buenas tardes! Me ayudan a confirmar cual es el monto máximo para transferir desde mi cuenta hey y como puedo modificar esos límites por favor, gracias!"
gracias,Muchas gracias! Le había recomendado a un conocido que antes ellos daban préstamos y ya no salen. Entonces quería sugerirle esa opción. Que amable eres.
gracias,"Creo que es eso, acaba de llegar, muchas gracias"
gracias,"Hola muchas gracias ya les expliqué la situación, les agradezco una respuesta a la brevedad"
gracias,"hoy fue mi primer día en heybanco ✨🌷✨ de regreso a la vida de oficina 🦋 mil gracias, 💋"
gracias,Gracias 😊 🙏
gracias,"Muchas gracias, ya les respondí por DM"
gracias,"Ya quedó resuelto favorablemente mi que queja, gracias"
gracias,"Muchas gracias, ya lleno los datos. /@heybanco"
gracias,¡Muchísimas gracias por compair! ❤️ 🙌
gracias,Gracias.
gracias,"Hola muchas gracias, ya les contesté vía DM"
gracias,"Solucionado, gracias!"
gracias,Gracias justo eso me funciono
gracias,Si me funcionó!!! Muchas gracias
gracias,Muchas gracias Hey! Ya quedó resuelto. 👌👌👌
gracias,Gracias ! Lo intentare 😁
gracias,Gracias! También me funcionó reiniciando 🙌
gracias,"Ya qiedo resuelto, muchas gracias!"
gracias,Funcionó gracias. Mejor que la cuenta oficial
gracias,"Muchas gracias por la información, me sirvió para poder acceder a la aplicación, deberían publicar la solución en sus redes para que otros usuarios puedan solucionarlo"
gracias,Confirmo hoy 19 de septiembre que funciona.. muchas gracias
gracias,"Muchas gracias ahora sí, por mandar la actualización v10.39.2 de la app de Android. La aplicación funciona nuevamente, tras 5 días que estuvo muea para varios de nosotros. Gracias"
gracias,Listo! Muchas gracias! :)
gracias,Ya hoy se restableció la aplicación gracias
gracias,"Gracias por la respuesta, pude habilitar mi app"
gracias,"Gracias, no debería ser información privada, es para que ustedes mejoren. Saludos."
gracias,cómo puedo pedir otra tarjeta sin perder mis datos anteriores. Gracias
gracias,"Hola, solo para agradecer públicamente la atención recibida en su momento, y mencionar que ya recibí todos los productos solicitado de su tienda de Hey Shop. Muchas gracias."
gracias,"Muchas gracias, los amo. 😭🫶🏽"
gracias,Gracias
gracias,"Gracias, les acabo de escribir."
gracias,"Ganeee! Si quieres ser pae de esta fiebre Hey, te puedo referir. Gracias"
gracias,"Gracias, volví a llamar y fue rapido"
gracias,Quedo en espera. Gracias
gracias,Muchas gracias
gracias,"Procedo, gracias por el apoyo"
gracias,"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos f…"
gracias,Gracias! Les envíe otra duda.
gracias,"Ok, estaré al pendiente, gracias"
gracias,"Gracias por mis ultimas recompensas, adios vaquero, fue bueno mientras duró"
